Warehouse_ID,Location,Current_Stock,Demand_Forecast,Lead_Time_Days,Shipping_Time_Days,Order_delay,Stockout_Risk,Operational_Cost,Supplier_ID,Product_Category,Monthly_Sales,Order_Processing_Time,Return_Rate,Customer_Rating,Warehouse_Capacity,Storage_Cost,Transportation_Cost,Backorder_Quantity,Damaged_Goods,Employee_Count,Sales_Per_Employee,Required_Employees,Employee_Gap,Total_Cost,profit,Inventory_Gap,Optimized_Stock,Need_Emp_Shifting,Cost_Per_Sale,Revenue
WH077,Miami,4930,1596,4,2,6,16,65180,S999,Apparel,5159,3.02,1.2,4.7,18352,11701,13753,293,30,35,147.4,46,11,25454,49363.67983,-3334,4930,0,12.63423144,74817.67983
WH470,New York,2498,800,4,2,6,25,45456,S433,Furniture,4404,3.04,2.8,3.8,23341,14588,1950,107,17,77,57.19480519,39,-38,16538,47330.39736,-1698,2498,0,10.32152589,63868.39736
WH145,New York,4357,1521,4,3,7,20,65281,S830,Groceries,5909,3.94,5.4,1.8,47701,1581,5792,119,43,97,60.91752577,52,-45,7373,78321.4505,-2836,4357,0,11.04772381,85694.4505
WH008,Atlanta,4757,4776,5,1,6,12,38284,S655,Apparel,6299.367188,3.08,4.2,1,19414,6995,8901,237,25,94,65.80851064,56,-38,15896,75459.69633,19,4776,1,6.077435854,91355.69633
WH438,Atlanta,4803,2432,6,3,9,20,45299,S845,Electronics,5539,2.43,6,2.4,42401,17954,13519,172,9,91,60.86813187,49,-42,31473,48855.57697,-2371,4803,0,8.178191009,80328.57697
WH122,San Francisco,1332,1339,4,2,6,9,46106,S596,Groceries,3336.367188,1.93,9.5,2.6,15012,19964,11533,190,35,39,82.64102564,29,-10,31497,16888.20101,7,1339,1,13.81922235,48385.20101
WH482,Dallas,654,2773,6,6,12,25,37339,S980,Furniture,4195.976563,3.06,1.3,1.2,48570,4473,1954,268,19,82,24.90243902,37,-45,6427,54424.56639,2119,2773,19,8.898762766,60851.56639
WH016,Atlanta,4789,834,4,3,7,22,80268,S699,Furniture,2642,2.45,5.5,2.3,34766,17788,10987,129,20,27,97.85185185,23,-4,28775,9540.23747,-3955,4789,0,30.38152914,38315.23747
WH326,San Francisco,1966,2828,6,4,10,19,90169,S979,Apparel,3151.9375,3.55,5.7,2.4,34704,7944,11357,99,43,39,57.56410256,28,-11,19301,26409.53513,862,2828,8,28.60748349,45710.53513
WH199,Atlanta,2677,3594,6,3,9,9,93093,S319,Electronics,8569.304688,0.87,8.9,2.8,47231,8493,3125,201,9,16,471.8125,76,60,11618,112657.1491,917,3594,9,10.86354184,124275.1491
WH295,Denver,1834,1077,4,3,7,16,37429,S396,Groceries,4210,3.15,1.8,3.9,12488,10894,10745,164,12,6,701.6666667,37,31,21639,39415.93934,-757,1834,0,8.890498812,61054.93934
WH417,Denver,3017,3410,5,2,7,16,95929,S365,Automotive,5960.46875,3.81,9.4,1.2,41470,15077,13522,242,44,58,94.94827586,53,-5,28599,57841.86888,393,3410,4,16.094204,86440.86888
WH397,Atlanta,1594,2760,2,6,8,9,98567,S813,Apparel,3680.039063,3.72,8.2,4.6,10576,14648,14169,129,19,67,36.31343284,32,-35,28817,24552.25457,1166,2760,11,26.78422656,53369.25457
WH314,New York,794,2163,6,2,8,11,93008,S443,Groceries,2921.773438,3.85,1.1,1.5,25387,5083,5620,97,41,9,160.8888889,26,17,10703,31669.61283,1369,2163,13,31.83272146,42372.61283
WH086,New York,2160,1085,4,5,9,5,66793,S897,Apparel,1418,1.21,7.3,1.6,41232,5883,6290,18,21,36,39.38888889,13,-23,12173,8391.347741,-1075,2160,0,47.10366714,20564.34774
WH256,Houston,4169,4979,3,2,5,15,79750,S539,Groceries,7589.9375,2.68,5.2,1.2,44285,17836,1355,61,26,24,278.4583333,67,43,19191,90881.01275,810,4979,8,10.5073329,110072.0128
WH205,Houston,4789,2629,6,1,7,18,67902,S844,Groceries,1150,1.88,4.3,4.6,24608,2315,5798,125,20,57,20.1754386,10,-47,8113,8564.715023,-2160,4789,0,59.04521739,16677.71502
WH056,Dallas,3636,3453,5,3,8,11,50893,S990,Groceries,5913,2.43,4.5,3.7,38021,2774,10625,157,14,37,159.8108108,52,15,13399,72353.45994,-183,3636,0,8.606967698,85752.45994
WH007,Chicago,3451,1006,5,2,7,9,65441,S919,Apparel,6401,2.83,5.4,5,38157,7002,4023,24,33,96,66.67708333,56,-40,11025,81804.61205,-2445,3451,0,10.22355882,92829.61205
WH320,Houston,2420,2840,2,7,9,25,62394,S915,Automotive,3123.46875,2.98,4.5,4.5,42442,2183,13272,282,46,7,381.4285714,28,21,15455,29842.67104,420,2840,4,19.97586818,45297.67104
WH428,Atlanta,2219,777,4,5,9,15,38940,S431,Apparel,5814,2.87,1.4,1.8,13172,15911,14508,143,39,35,166.1142857,51,16,30419,53897.72621,-1442,2219,0,6.697626419,84316.72621
WH415,Chicago,4568,1768,3,2,5,12,97211,S388,Groceries,3154,2.28,9.7,4.3,47783,11813,546,247,12,46,68.56521739,28,-18,12359,33381.44625,-2800,4568,0,30.82149651,45740.44625
WH005,San Francisco,2474,1871,5,5,10,23,44010,S498,Furniture,4844,1.72,3,3.8,33661,4235,3155,180,15,76,63.73684211,43,-33,7390,62859.43615,-603,2474,0,9.085466557,70249.43615
WH459,New York,1295,2782,2,1,3,23,60363,S286,Electronics,4281.140625,3.27,2.9,1.8,24041,5744,2583,8,19,55,48.98181818,38,-17,8327,53759.64636,1487,2782,14,14.09974707,62086.64636
WH091,Atlanta,2669,5200,6,3,9,5,82513,S860,Electronics,9457.445313,2.01,4.8,3.5,23036,13529,12864,146,33,77,88.96103896,83,6,26393,110762.285,2531,5200,23,8.724660548,137155.285
WH007,Miami,3165,4971,4,1,5,16,98563,S312,Electronics,8951.875,3.31,1.5,4.5,17714,15161,13676,38,37,46,155.173913,79,33,28837,100986.3219,1806,4971,16,11.01031907,129823.3219
WH488,Miami,734,2644,4,3,7,17,82106,S853,Groceries,5076.242188,2.35,3.3,2.3,25240,5249,1900,201,45,49,64.26530612,45,-4,7149,66468.49616,1910,2644,17,16.17456318,73617.49616
WH079,Chicago,4813,2247,5,4,9,14,58707,S491,Apparel,7205,4.2,4.6,3.8,30328,11105,3728,206,48,40,180.125,64,24,14833,89656.51021,-2566,4813,0,8.148091603,104489.5102
WH233(1),New York,1222,2547,3,3,6,22,80137,S201,Apparel,6558.8125,3.39,1,1.4,32242,6179,2251,34,50,29,132.3448276,58,29,8430,86688.26588,1325,2547,24,12.21821786,95118.26588
WH422,Los Angeles,3561,402,5,2,7,9,53249,S890,Automotive,2809,3.89,8.9,3.2,37169,12529,8799,125,2,50,56.18,25,-25,21328,19409.13174,-3159,3561,0,18.95656817,40737.13174
WH228,Dallas,3000,2800,4,3,7,17,68570,S549,Groceries,3022,2.07,1.7,2.1,17122,4512,14576,241,39,93,32.49462366,27,-66,19088,24738.13461,-200,3000,0,22.69027134,43826.13461
WH462,Atlanta,3142,2856,4,2,6,15,97968,S728,Automotive,3289,2.68,2.4,1.8,18089,19529,7146,223,15,86,38.24418605,29,-57,26675,21023.26497,-286,3142,0,29.78656126,47698.26497
WH219,Dallas,3921,4064,5,2,7,16,46284,S648,Furniture,7587.734375,1.1,10,3.1,42770,11017,1729,99,45,13,566.2307692,67,54,12746,97294.06224,143,4064,2,6.099844527,110040.0622
WH393,Denver,3352,1825,8,2,10,8,65532,S403,Automotive,7382,0.86,2.6,4.1,45742,6788,11258,48,16,44,167.7727273,65,21,18046,89010.42809,-1527,3352,0,8.877269033,107056.4281
WH294,Chicago,4251,650,6,4,10,23,57399,S607,Groceries,5765,3.61,7.8,1.2,30399,7522,8792,215,12,61,94.50819672,51,-10,16314,67292.11053,-3601,4251,0,9.956461405,83606.11053
WH074,Atlanta,1391,1134,5,4,9,14,78225,S627,Furniture,5475,3.41,8.3,2.5,30357,2637,7562,27,14,7,782.1428571,48,41,10199,69201.42587,-257,1391,0,14.28767123,79400.42587
WH476,Los Angeles,1386,1271,4,2,6,13,78191,S225,Furniture,1613,4.15,7.8,1.9,31646,17732,7714,238,5,78,20.67948718,14,-64,25446,-2053.691885,-115,1386,0,48.47551147,23392.30811
WH233(2),New York,1221,2546,3,2,5,16,72382,S602,Electronics,4404.835938,2.17,1.4,4.6,27852,7710,1039,132,45,29,47.06,39,10,8749,55131.52042,1325,2546,5,16.43239408,63880.52042
WH438(2),Chicago,304,2558,3,2,5,18,36588,S134,Electronics,6689.8125,0.93,9,3.2,49954,15435,5859,3,8,18,31.20879121,59,41,21294,75724.07516,2254,2558,24,5.469211581,97018.07516
WH387,Chicago,1889,2271,4,4,8,11,91701,S759,Groceries,3591.46875,3.66,7,1.6,30630,6237,13797,63,19,92,34.10869565,32,-60,20034,32050.77594,382,2271,4,25.53300791,52084.77594
WH382,Miami,4258,4740,6,2,8,20,80668,S417,Automotive,5878.835938,4.73,3.6,4.1,27619,4776,12277,13,42,91,58.37362637,52,-39,17053,68204.00037,482,4740,5,13.72176411,85257.00037
WH438(1),Chicago,304,2559,3,3,6,21,37319,S185,Furniture,8504.6875,4.37,9,1.9,26143,12294,9850,64,4,18,220.5277778,75,57,22144,101194.0474,2255,2559,40,4.388050707,123338.0474
WH163,Denver,691,2105,7,2,9,7,72227,S441,Apparel,7188.773438,0.52,5.8,3.6,31692,9854,13762,20,20,23,248.4782609,63,40,23616,80638.18674,1414,2105,13,10.04719381,104254.1867
WH248,Atlanta,4784,1437,8,2,10,19,34112,S768,Electronics,2642,4.25,7.7,4.9,13013,4433,2674,211,25,90,29.35555556,23,-67,7107,31208.23747,-3347,4784,0,12.91143073,38315.23747
WH351,San Francisco,634,705,6,3,9,11,44147,S831,Apparel,1807.367188,3.24,8.9,1.5,25823,17306,917,276,6,62,27.32258065,16,-46,18223,7988.091213,71,705,1,24.42613781,26211.09121
WH366,Los Angeles,1670,1713,10,1,11,20,71498,S813,Apparel,2260.367188,0.72,3.9,1.6,37590,19542,13230,123,15,90,23.85555556,20,-70,32772,8.660695564,43,1713,1,31.631144,32780.6607
WH392,Houston,2742,4889,9,3,12,22,67455,S545,Furniture,8086.976563,1.14,3.7,3.1,41692,2294,5421,129,32,11,539.3636364,71,60,7715,109565.2526,2147,4889,19,8.341189007,117280.2526
WH140,Los Angeles,1449,1639,8,4,12,20,60432,S278,Groceries,7229.734375,0.99,8.9,3.2,41388,13400,1148,115,27,25,280.12,64,39,14548,90300.21704,190,1639,2,8.358813321,104848.217
WH286,Miami,1443,568,5,7,12,21,51904,S778,Electronics,5045,4.9,8.8,3.6,29712,14945,8595,76,18,18,280.2777778,45,27,23540,49624.41069,-875,1443,0,10.28820614,73164.41069
WH102(2),Chicago,1261,2518,1,2,3,25,45894,S807,Furniture,4177,3.39,2.3,1.4,12979,4433,12383,45,12,40,34.06666667,37,-3,16816,43760.36143,1257,2518,0,10.98731147,60576.36143
WH061,San Francisco,4667,1194,6,6,12,23,33599,S809,Apparel,4822,1.89,3,2.7,30124,12415,13679,41,11,77,62.62337662,43,-34,26094,43836.38421,-3473,4667,0,6.967855662,69930.38421
WH102(1),Chicago,1262,2519,1,2,3,7,85322,S990,Apparel,6784.445313,2.47,3.9,1.5,39627,5718,11671,225,18,41,103.1358025,60,19,17389,81001.47436,1257,2519,23,12.57612024,98390.47436
WH254,Dallas,3708,2235,7,5,12,17,36749,S521,Furniture,6759,4.25,6,4.3,36428,7985,9161,98,35,23,293.8695652,60,37,17146,80875.45725,-1473,3708,0,5.4370469,98021.45725
WH055,Dallas,3790,2904,8,4,12,13,80868,S929,Groceries,3819,0.79,6.4,4.7,18187,16069,12253,248,49,31,123.1935484,34,3,28322,27062.51624,-886,3790,0,21.17517675,55384.51624
WH082,San Francisco,4892,1083,7,5,12,19,97049,S183,Electronics,5580,3.67,0.9,1.2,15458,14880,14212,9,49,6,930,49,43,29092,51831.17376,-3809,4892,0,17.39229391,80923.17376
WH013,Miami,4214,2516,5,7,12,8,46897,S998,Furniture,2027,4.12,7.6,4.7,44903,18844,8447,26,12,35,57.91428571,18,-17,27291,2105.285523,-1698,4214,0,23.13616182,29396.28552
WH366,New York,3904,1956,6,6,12,16,96162,S473,Groceries,4401,3.55,6.1,3.5,26040,3997,1846,277,34,36,122.25,39,3,5843,57981.89027,-1948,3904,0,21.85003408,63824.89027
WH436,New York,4553,955,5,7,12,7,77040,S989,Furniture,4390,2.77,2.5,3.9,32777,11404,2328,5,22,8,548.75,39,31,13732,49933.3643,-3598,4553,0,17.54897494,63665.3643
WH104,San Francisco,3963,4359,8,4,12,19,95995,S732,Furniture,7475.46875,3.68,7.2,4.6,15192,5196,11137,228,46,29,242.137931,66,37,16333,92078.94563,396,4359,4,12.8413352,108411.9456
WH002,San Francisco,4387,2175,8,4,12,10,49294,S497,Electronics,5528,3.42,6,3.3,14253,3692,3766,137,16,57,96.98245614,49,-8,7458,72711.051,-2212,4387,0,8.917149059,80169.051
WH286(1),Dallas,1712,2560,1,2,3,16,72693,S248,Apparel,6121.507813,4.95,1,4.3,41424,10280,3078,216,26,48,93.07368421,54,6,13358,75418.31548,848,2560,15,11.87501547,88776.31548
WH286(2),Dallas,1712,2559,1,2,3,23,48912,S164,Apparel,6688.34375,4.95,6.4,2.1,24950,1887,14635,298,24,47,19.03333333,59,12,16522,80474.77481,847,2559,20,7.313021254,96996.77481
WH500,Dallas,4798,2861,8,4,12,23,70972,S966,Automotive,5015,4.65,4.9,3,39543,8082,13117,136,26,14,358.2142857,44,30,21199,51530.33986,-1937,4798,0,14.15194417,72729.33986
WH288,Los Angeles,2981,2203,7,5,12,12,81725,S739,Apparel,2543,1.5,1.6,3.3,12566,12316,8711,194,49,89,28.57303371,22,-67,21027,15852.50374,-778,2981,0,32.13723948,36879.50374
WH057,Chicago,2182,712,10,2,12,23,67124,S221,Groceries,3908,2.62,5.4,1.3,43289,8634,13556,138,35,28,139.5714286,34,6,22190,34485.22636,-1470,2182,0,17.17604913,56675.22636
WH239,Dallas,3926,484,8,3,11,7,93895,S693,Groceries,4893,4.77,6.1,3.8,28701,16975,2778,228,26,83,58.95180723,43,-40,19753,51207.05183,-3442,3926,0,19.1896587,70960.05183
WH080,Seattle,4041,2603,7,4,11,8,92226,S103,Furniture,4073,4.15,7,1.4,38531,15308,4244,194,49,93,43.79569892,36,-57,19552,39516.1159,-1438,4041,0,22.6432605,59068.1159
WH369,San Francisco,2314,1514,6,5,11,9,81364,S549,Groceries,5331,3.59,9,1.1,31325,12245,10053,70,11,10,533.1,47,37,22298,55014.0859,-800,2314,0,15.26242731,77312.0859
WH302,Los Angeles,2867,2066,9,2,11,12,88536,S872,Furniture,1220,1.34,6.5,3.7,29903,7233,4194,0,15,69,17.68115942,11,-58,11427,6265.880285,-801,2867,0,72.5704918,17692.88029
WH361,Dallas,4062,1475,8,3,11,9,39957,S498,Groceries,4224,3.18,6.2,2.8,14738,9524,13636,66,42,54,78.22222222,37,-17,23160,38097.9724,-2587,4062,0,9.459517045,61257.9724
WH134,Seattle,582,979,4,7,11,13,78161,S828,Furniture,2209.46875,3.22,3.6,2,33854,15544,11418,300,47,16,109.75,19,3,26962,5080.513186,397,979,4,35.37547205,32042.51319
WH102,Los Angeles,2194,2077,10,1,11,17,55474,S337,Apparel,5565,2.27,3.2,1.4,22467,13135,14564,62,25,17,327.3529412,49,32,27699,53006.63835,-117,2194,0,9.968373765,80705.63835
WH269,Miami,1573,2459,5,6,11,6,44851,S863,Apparel,6155.9375,0.56,9.4,5,35387,17511,14135,249,22,69,76.07246377,54,-15,31646,57629.62724,886,2459,8,7.285811463,89275.62724
WH254,Atlanta,4276,3468,10,1,11,16,44679,S410,Furniture,6997,3.56,1.2,1.8,25956,1174,14281,122,6,54,129.5740741,62,8,15455,86018.01914,-808,4276,0,6.385450908,101473.0191
WH195,Miami,1618,499,8,3,11,5,76517,S746,Apparel,6348,3.33,7,3.9,31711,4840,7402,65,50,33,192.3636364,56,23,12242,79818.98693,-1119,1618,0,12.05371771,92060.98693
WH381,Los Angeles,3835,969,9,2,11,5,62446,S325,Furniture,3646,4.94,5.1,1,22411,6006,6845,77,18,15,243.0666667,32,17,12851,40024.6078,-2866,3835,0,17.12726275,52875.6078
WH026,Chicago,2042,2627,6,5,11,12,55853,S944,Electronics,5168.203125,1.31,4.2,3.6,13881,2691,1893,203,50,73,61.47945205,46,-27,4584,70367.14687,585,2627,6,10.80704428,74951.14687
WH257,Houston,839,2010,10,1,11,13,69694,S708,Apparel,5899.039063,1.54,7.6,2.1,41031,19979,13698,289,26,90,51.68888889,52,-38,33677,51872.99338,1171,2010,11,11.8144666,85549.99338
WH424,Seattle,1645,1998,7,4,11,13,85144,S339,Electronics,2256.46875,1.92,7.3,3.8,47552,10090,9488,167,47,40,45.075,20,-20,19578,13146.12415,353,1998,4,37.73329456,32724.12415
WH120,Denver,2258,2659,4,5,9,5,97396,S968,Electronics,4952.46875,1.53,1.5,1.9,35457,15946,515,158,40,42,107.1190476,44,2,16461,55361.48911,401,2659,4,19.66615135,71822.48911
WH125,Chicago,4977,1299,5,6,11,23,91605,S954,Electronics,6841,1.59,9.5,1.9,41030,8656,2296,12,11,47,145.5531915,60,13,10952,88258.65084,-3678,4977,0,13.39058617,99210.65084
WH413,Seattle,3412,2576,4,7,11,25,52720,S899,Automotive,1753,0.56,1.3,2.4,32468,5445,4987,111,29,21,83.47619048,15,-6,10432,14990.63864,-836,3412,0,30.07415859,25422.63864
WH049,Chicago,3577,2582,8,3,11,7,89377,S825,Furniture,6669,1.19,6.2,4.5,45556,1133,9913,195,28,97,68.75257732,59,-38,11046,85670.24477,-995,3577,0,13.40185935,96716.24477
WH419,San Francisco,2492,598,8,3,11,19,55080,S783,Automotive,4399,2.87,3.9,1.5,33279,18414,11372,89,29,5,879.8,39,34,29786,34009.88555,-1894,2492,0,12.52102751,63795.88555
WH079,Dallas,3347,878,6,5,11,24,55163,S581,Automotive,3689,2.35,0.9,2.1,19511,11709,12230,210,44,78,47.29487179,33,-45,23939,29560.20932,-2469,3347,0,14.9533749,53499.20932
WH027,New York,4759,484,9,2,11,17,96825,S131,Automotive,3694,0.83,3.6,3.2,16996,7961,14110,119,41,85,43.45882353,33,-52,22071,31500.72113,-4275,4759,0,26.21142393,53571.72113
WH476,New York,2870,3549,5,6,11,9,54988,S688,Automotive,7199.203125,2.34,6.2,4.6,26572,13100,3192,214,36,57,114.3684211,64,7,16292,88113.44183,679,3549,6,7.638067581,104405.4418
WH190,Dallas,3101,898,9,2,11,10,81760,S434,Groceries,1225,3.74,5.8,2.6,43489,7690,3512,259,5,59,20.76271186,11,-48,11202,6563.392089,-2203,3101,0,66.74285714,17765.39209
WH178(1),Atlanta,1449,2567,5,3,8,12,55488,S840,Automotive,6783.34375,3,5.7,4,41563,15830,13589,144,49,12,376.3333333,60,48,29419,68955.4991,1118,2567,20,8.180036579,98374.4991
WH340,Chicago,4763,4343,5,5,10,16,64176,S116,Furniture,5956,1.03,7.3,4.2,22784,9863,13435,153,3,49,121.5510204,53,4,23298,63078.06146,-420,4763,0,10.77501679,86376.06146
WH211,San Francisco,3840,666,9,1,10,19,30165,S459,Automotive,1326,0.66,2.4,1.1,32490,9766,807,181,17,20,66.3,12,-8,10573,8657.130539,-3174,3840,0,22.74886878,19230.13054
WH268,Chicago,2383,697,5,5,10,14,84872,S636,Groceries,4982,2.57,4.2,2.9,39082,19243,10301,202,49,26,191.6153846,44,18,29544,42706.76195,-1686,2383,0,17.03572862,72250.76195
WH495,Seattle,3126,520,5,5,10,20,59269,S917,Electronics,1557,1.66,3.1,4.7,21943,2075,1571,48,30,12,129.75,14,2,3646,18934.1759,-2606,3126,0,38.06615286,22580.1759
WH057,Los Angeles,4390,486,8,2,10,6,72677,S862,Apparel,2700,3.74,9.8,1.2,42370,3080,14988,80,0,56,48.21428571,24,-32,18068,21088.3744,-3904,4390,0,26.91740741,39156.3744
WH449,Seattle,2484,2155,3,7,10,11,92559,S837,Apparel,2049,4.44,7.6,4.6,24642,3168,11699,300,1,98,20.90816327,18,-80,14867,14848.33746,-329,2484,0,45.1727672,29715.33746
WH388,Dallas,2595,4478,8,2,10,23,36726,S813,Electronics,9139.242188,2.73,3.9,1.2,13371,5624,6640,166,27,60,120.2,81,21,12264,120276.5885,1883,4478,17,4.018495106,132540.5885
WH125,Denver,3380,5055,6,4,10,24,66402,S735,Groceries,7244.507813,2.23,8.5,1.3,23744,13811,9053,146,4,85,65.22352941,64,-21,22864,82198.46676,1675,5055,15,9.165840071,105062.4668
WH178(2),Atlanta,1448,2566,5,2,7,5,98673,S139,Electronics,7350.179688,3.42,9,2,12348,5046,13352,268,42,12,631.8571429,65,53,18398,88196.95843,1118,2566,25,13.42456976,106594.9584
WH153,Seattle,2783,3089,6,4,10,20,31379,S147,Automotive,5939.101563,3.85,5.2,4.1,34966,9430,7684,210,32,91,61.52747253,52,-39,17114,69016.99422,306,3089,3,5.283459067,86130.99422
WH082,Dallas,3756,1623,8,2,10,25,83069,S801,Apparel,4363,4.84,6.3,2.3,48455,5138,12163,276,43,18,242.3888889,38,20,17301,45972.80056,-2133,3756,0,19.03942242,63273.80056
WH287,Dallas,3298,408,7,3,10,9,32024,S971,Groceries,6968,2.76,7.9,3.3,10604,5177,10228,149,30,19,366.7368421,61,42,15405,85647.45068,-2890,3298,0,4.59586682,101052.4507
WH092(1),San Francisco,1774,2559,2,3,5,20,46592,S799,Electronics,6286.140625,2.69,5,2.9,11927,1357,9805,184,40,39,120.4871795,55,16,11162,80001.87994,785,2559,14,7.411860914,91163.87994
WH358,Houston,1336,2299,3,7,10,16,58287,S207,Automotive,7748.304688,0.86,4.7,3.3,41200,3103,9223,270,5,65,103.5076923,68,3,12326,100042.7109,963,2299,9,7.522548783,112368.7109
WH092(2),San Francisco,1773,2558,2,2,4,14,82542,S954,Automotive,8666.851563,3.88,4.4,1.2,26141,15403,9039,228,6,39,77.6875,76,37,24442,101247.8091,785,2558,35,9.523873739,125689.8091
WH380,Denver,1295,1850,8,2,10,6,86908,S873,Automotive,8122.835938,4.15,4,2.9,10776,2975,2045,45,6,12,629.6666667,72,60,5020,112780.2982,555,1850,5,10.69921893,117800.2982
WH342,Los Angeles,802,1651,5,5,10,25,98483,S928,Furniture,6614.9375,3.84,7.2,3.7,42957,11639,14914,34,28,86,66.37209302,58,-28,26553,69379.21089,849,1651,8,14.88797135,95932.21089
WH023,Atlanta,4279,3822,4,6,10,10,91635,S133,Furniture,6007,3.56,8,4,18979,2775,8483,221,48,50,120.14,53,3,11258,75857.68186,-457,4279,0,15.25470285,87115.68186
WH480,Los Angeles,3929,1419,7,3,10,15,96829,S566,Apparel,3793,1.63,3.3,1.2,45860,7257,7188,222,0,22,172.4090909,33,11,14445,40562.45485,-2510,3929,0,25.52834168,55007.45485
WH325,New York,4863,2479,6,4,10,15,61482,S147,Groceries,5514,3.45,4,4.1,21317,9460,11887,20,10,34,162.1764706,49,15,21347,58619.01794,-2384,4863,0,11.15016322,79966.01794
WH232,San Francisco,688,1463,3,7,10,13,90841,S520,Automotive,2266.570313,3.45,6,4.3,15316,17786,5956,128,4,25,58.92,20,-5,23742,9128.620653,775,1463,7,40.07861547,32870.62065
WH131,New York,4422,828,9,1,10,5,80974,S181,Groceries,6857,1.19,5.7,1.4,31687,11125,6039,106,29,38,180.4473684,60,22,17164,82278.68862,-3594,4422,0,11.80895435,99442.68862
WH370,Denver,3057,930,4,6,10,13,33807,S805,Groceries,6939,1.49,9.3,1.9,29413,8501,3176,289,18,58,119.637931,61,3,11677,88954.88221,-2127,3057,0,4.87202767,100631.8822
WH243,Seattle,2270,575,4,6,10,11,59428,S222,Automotive,1848,2.92,8.8,4,11850,2588,8173,181,10,23,80.34782609,16,-7,10761,16039.36292,-1695,2270,0,32.15800866,26800.36292
